Year,psa_rate_per_100k_pop,lga_rate_per_100_pop,incidents_recorded,LGA,division_code,division_desc,subdivision_code,subdivision_desc,subgroup_code,subgroup_desc,police_region
2025,84.94533631,90.453615327,112,Ballarat,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,4 Western
2025,9.859726536,10.49908035,13,Ballarat,B,Property and deception offences,B10,Arson,B19,Other fire related offences,4 Western
2025,763.749586285,813.274916375,1007,Ballarat,B,Property and deception offences,B20,Property damage,B21,Criminal damage,4 Western
2025,72.051847763,76.724048715,95,Ballarat,B,Property and deception offences,B20,Property damage,B22,Graffiti,4 Western
2025,4.550643017,4.845729393,6,Ballarat,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,4 Western
2025,94.805062846,100.952695677,125,Ballarat,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,4 Western
2025,332.196940211,353.738245653,438,Ballarat,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,4 Western
2025,1.516881006,1.615243131,2,Ballarat,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,4 Western
2025,434.586408085,462.767156984,573,Ballarat,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,4 Western
2025,1100.497169513,1171.85889142,1451,Ballarat,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,4 Western
2025,48.540192177,51.687780187,64,Ballarat,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,4 Western
2025,888.133828739,945.724853103,1171,Ballarat,B,Property and deception offences,B40,Theft,B49,Other theft,4 Western
2025,4.550643017,74.727898069,6,Pyrenees,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,4 Western
2025,6.825964525,112.091847103,9,Pyrenees,B,Property and deception offences,B10,Arson,B19,Other fire related offences,4 Western
2025,24.270096089,398.5487897,32,Pyrenees,B,Property and deception offences,B20,Property damage,B21,Criminal damage,4 Western
2025,2.275321508,37.363949034,3,Pyrenees,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,4 Western
